Hostname,Date,Time,Seconds,Temperature,Humidity
raspberrypi,2018-06-28,16:31:48,1530217908.0750406,25.2,38.6
raspberrypi,2018-06-28,16:31:58,1530217918.713192,25.2,38.6
raspberrypi,2018-06-28,16:32:12,1530217932.9169781,25.2,38.5
raspberrypi,2018-06-28,16:32:39,1530217959.7754104,25.2,38.5
raspberrypi,2018-06-28,16:32:50,1530217970.3313482,,
raspberrypi,2018-06-28,16:33:29,1530218009.324841,25.2,38.4
raspberrypi,2018-06-28,16:33:58,1530218038.7133782,25.2,38.5
raspberrypi,2018-06-28,16:34:09,1530218049.2695458,25.2,38.5
raspberrypi,2018-06-28,16:34:20,1530218060.9471905,25.2,38.5
raspberrypi,2018-06-28,16:34:31,1530218071.5215201,25.2,38.5
raspberrypi,2018-06-28,16:34:42,1530218082.1312325,25.2,38.4
raspberrypi,2018-06-28,16:34:52,1530218092.2154007,25.2,38.5
raspberrypi,2018-06-28,16:35:06,1530218106.4152048,25.2,38.5
raspberrypi,2018-06-28,16:35:16,1530218116.9736109,25.2,38.4
raspberrypi,2018-06-28,16:35:36,1530218136.235738,25.2,38.4
raspberrypi,2018-06-28,16:35:46,1530218146.3194625,25.2,38.4
raspberrypi,2018-06-28,16:35:56,1530218156.403612,25.2,38.4
raspberrypi,2018-06-28,16:36:15,1530218175.6675355,25.2,38.4
raspberrypi,2018-06-28,16:36:25,1530218185.7651322,23.6,38.4
raspberrypi,2018-06-28,16:36:42,1530218202.4944603,25.2,38.4
raspberrypi,2018-06-28,16:36:53,1530218213.0509193,25.2,38.4
raspberrypi,2018-06-28,16:37:09,1530218229.7830238,25.2,38.3
raspberrypi,2018-06-28,16:38:01,1530218281.591807,25.2,38.4
raspberrypi,2018-06-28,16:38:12,1530218292.239406,25.2,38.3
raspberrypi,2018-06-28,16:38:22,1530218302.3689268,25.2,38.3
raspberrypi,2018-06-28,16:38:32,1530218312.4483516,25.2,38.3
raspberrypi,2018-06-28,16:38:42,1530218322.5272179,25.2,38.3
raspberrypi,2018-06-28,16:38:52,1530218332.66216,25.2,38.3
raspberrypi,2018-06-28,16:39:06,1530218346.8562794,25.2,38.3
raspberrypi,2018-06-28,16:39:17,1530218357.4070675,25.2,38.3
raspberrypi,2018-06-28,16:39:28,1530218368.0172026,25.2,38.3
